Filename,Start,End,Type,Surface
train.txt,7,7,PER,"البندقيين"
train.txt,29,29,LOC,"القسطنطينية"
train.txt,49,49,LOC,"تركيا"
train.txt,56,56,PER,"بيبي"
train.txt,57,58,PER,"وراوول ميريليش"
train.txt,68,68,PER,"فيرمي"
train.txt,72,73,LOC,"جامعة كولومبيا"
train.txt,75,76,LOC,"جامعة شيكاغو"
train.txt,95,96,MIS,"اليورانيوم والجرافيت"
train.txt,98,98,MIS,"والكادميوم"
train.txt,116,117,LOC,"بجامع سامراء"
train.txt,121,122,PER,"الأسرة الطولونية"
train.txt,129,129,LOC,"مصر"
train.txt,133,133,PER,"الطبري"
train.txt,140,140,PER,"المتوكل"
train.txt,144,144,PER,"الحسين"
train.txt,201,201,PER,"الطوسي"
train.txt,205,209,PER,"عبد الله بن دانيه الطوري"
train.txt,220,220,LOC,"العراق"
train.txt,223,223,PER,"المؤمنين"
train.txt,224,227,PER,"علي بن أبي طالب"
train.txt,237,237,PER,"الحسين"
train.txt,287,287,LOC,"بغداد"
train.txt,314,314,PER,"الصليبيين"
train.txt,322,322,LOC,"عسقلان"
train.txt,327,328,PER,"العصابات الصليبية"
train.txt,334,336,LOC,"البلاد الشامية والفلسطينية"
train.txt,342,342,MIS,"س"
train.txt,344,344,MIS,"MIT"
train.txt,354,354,PER,"مندليف"
train.txt,361,361,MIS,"يونكس"
train.txt,367,367,MIS,"أندرو"
train.txt,368,368,MIS,"Andrew"
train.txt,375,377,PER,"بليت لروب بايك"
train.txt,384,386,ORG,"قوات الثورة العربية"
train.txt,387,387,LOC,"دمشق"
train.txt,390,390,PER,"الإنكليز"
train.txt,395,395,MIS,"السيريوم"
train.txt,407,407,MIS,"الرصاص"
train.txt,415,418,MIS,"بطولة دوري أبطال أوروبا"
train.txt,432,432,MIS,"XFree86"
train.txt,434,434,MIS,"لس"
train.txt,453,453,MIS,"س"
train.txt,517,517,LOC,"أوروبا"
train.txt,519,520,LOC,"أمريكا الجنوبية"
train.txt,526,527,LOC,"أمريكا الشمالية"
train.txt,529,531,LOC,"آسيا و أفريقيا"
train.txt,533,533,LOC,"أوقيانوسيا"
train.txt,541,543,ORG,"لفرق أمريكا الجنوبية"
train.txt,545,545,LOC,"أوروبا"
train.txt,561,563,ORG,"منتخب الولايات المتحدة"
train.txt,576,577,ORG,"منتخب كوبا"
train.txt,590,592,ORG,"منتخب كوريا الشمالية"
train.txt,605,606,ORG,"منتخب المكسيك"
train.txt,628,630,PER,"أحمد بن أويس"
train.txt,666,666,PER,"أمية"
train.txt,680,680,PER,"الفرنسيون"
train.txt,688,688,PER,"السوريون"
train.txt,696,697,LOC,"جبل العرب"
train.txt,699,700,LOC,"جنوب سورية"
train.txt,722,723,ORG,"مشروع مانهاتن"
train.txt,748,748,LOC,"دمشق"
train.txt,762,764,PER,"نور الدين زنكي"
train.txt,765,767,PER,"وصلاح الدين الأيوبي"
train.txt,769,770,PER,"الظاهر بيبرس"
train.txt,792,792,LOC,"مدريد"
train.txt,802,802,MIS,"O'Donnell"
train.txt,811,811,LOC,"دمشق"
train.txt,814,814,LOC,"الياسمين"
train.txt,817,817,LOC,"دمشق"
train.txt,837,838,PER,"سكان دمشق"
train.txt,892,892,MIS,"X"
